Id,Name,Website,Description,Created at,Updated at,Slug,Searchable by organizations,Is searchable,Region,Lat,Lng,Last verified at,Marked deleted,Is closed
5735,Centro Cristiano Manantial De Vida,https://www.facebook.com/C2MDV/?rc=p," Centro Cristiano Manantial De Vida is a faith based organization that offers services to the community of Fontana, CA",2019-03-28 02:05:12 UTC,2020-06-24 07:04:26 UTC,centro-cristiano-manantial-de-vida-fontana-ca,,TRUE,"Fontana, CA",34.0922,-117.435,2020-06-03 22:01:30 UTC,FALSE,FALSE
5493,Kaleidoscope Youth Center,http://www.kycohio.org/,"Kaleidoscope Youth Center (KYC) seeks to serve and support LGBTQIA+ youth and young adults. They primarily function as a drop-in center for youth ages 12-20, and also do community outreach and trainings. Recently they have begun housing initiatives for homeless and housing insecure LGBTQIA+ youth",2018-11-26 03:00:45 UTC,2020-04-23 08:42:08 UTC,kaleidoscope-youth-center-columbus-oh,,TRUE,"Columbus, OH",39.9612,-82.9988,,FALSE,FALSE
2819,"10000 degrees",http://www.10000degrees.org/,"10000 Degrees provides education and scholarship opportunities for students from all over Marin and Sonoma county.",2016-11-15 04:15:55 UTC,2019-04-09 13:00:11 UTC,10-000-degrees,,TRUE,"San Rafael, CA",37.9735,-122.531,2019-04-09 13:00:11 UTC,FALSE,FALSE
1811,100% College Prep Institute,http://www.100collegeprep.org,"100% College Prep Institute works with 8th to 12th graders. They offer 4 programs that help create college awareness, ready and eligible students.  Youth work 1:1 with academic coaches who help them plan their college-going journey by setting and achieving academic goals.  They also engage in group activities that support school success, academic proficiency, and college entrance.",2016-04-05 22:21:16 UTC,2020-06-20 04:16:49 UTC,100-college-prep-institute-san-francisco-ca,,TRUE,"San Francisco, CA",37.7749,-122.419,2020-06-20 04:00:29 UTC,FALSE,FALSE
2058,1736 Family Crisis Center,http://www.1736familycrisiscenter.org/,"1736 Family Crisis Center provides assistance for victims of domestic violence, homeless youth and families, runaways, at-risk veterans, and other community members in need.",2016-06-23 00:42:29 UTC,2020-06-19 06:09:21 UTC,1736-family-crisis-center,,TRUE,"Los Angeles, CA",34.0522,-118.244,2020-06-07 05:18:49 UTC,FALSE,FALSE
6780,18percent,https://18percent.org/,18percent is a free and global online peer-to-peer support group centered around mental health. Communities are hosted on the app Slack (Slack is an internal chat service that offers “channels” for community members to hang out and spark conversation).,2020-06-06 03:10:46 UTC,2020-06-07 05:51:27 UTC,18percent-new-york-ny,,TRUE,"New York, NY, USA",40.7128,-74.006,2020-06-07 05:32:46 UTC,FALSE,FALSE
5278,1951 Coffee Company,http://1951coffee.com/,"1951 Coffee is a non-profit company that provides a free, 2-week Barista Training Program for refugees and asylum-seekers in the San Francisco Bay Area. The program focuses on skills for the specialty coffee industry, American workplace culture, and customer service. After completing the course, graduates work with an employment specialist who connects them with job openings and helps with interview prep, mock interviews, and addresses any concerns or questions.",2018-07-17 18:38:05 UTC,2019-10-14 09:58:18 UTC,1951-coffee-company-san-francisco-ca,,TRUE,"Berkeley, CA, USA",37.7749,-122.419,2019-10-03 12:31:57 UTC,FALSE,FALSE
6611,1k Project,https://www.1kproject.org/,The 1k Project directly matches a family with a sponsor willing to donate money during the COVID-19 pandemic.,2020-05-26 02:07:55 UTC,2020-05-27 17:09:30 UTC,1k-project-united-states,,TRUE,United States,37.0902,-95.7129,2020-05-27 17:06:56 UTC,FALSE,FALSE
5795,211 Alberta,http://www.ab.211.ca,"211 is a free, confidential, multilingual, 24 hour information and referral system. 211 provides information on government and community based health and social services. 211 is available in certain regions across the province.    ",2019-04-16 18:28:32 UTC,2019-04-29 18:11:46 UTC,211-alberta-ab-canada,,TRUE,"AB, Canada",53.9333,-116.576,,FALSE,FALSE
6516,211 LA County,https://www.211la.org/,211 LA is the central source for providing information and referrals for all health and human services in LA County.,2020-05-21 02:05:26 UTC,2020-05-24 04:36:46 UTC,211-la-county-los-angeles-ca,,TRUE,"Los Angeles, CA, USA",34.0522,-118.244,2020-05-23 23:50:01 UTC,FALSE,FALSE
5344,3 WINS Fitness,http://www.3winsfitness.com,"3 WINS Fitness is starting its newest campaign, AMPED (America Moves to Prevent/Evitar Diabetes), with the idea of creating L.A.'s Largest free Diabetes Prevention and Exercise Program. All fitness levels are welcome!",2018-08-13 21:35:48 UTC,2019-04-07 13:26:24 UTC,3-wins-fitness-los-angeles-ca,,TRUE,"Los Angeles, CA, USA",34.0522,-118.244,2019-04-07 13:26:24 UTC,FALSE,FALSE
3360,30th Street Senior Center,https://30thstreetseniorcenter.org/,"Provides health and wellness programs, meals, and social services such as case management and an aging and disability resource center.",2017-01-24 22:02:41 UTC,2020-06-22 19:31:26 UTC,30th-street-senior-center-san-francisco-ca,,TRUE,"San Francisco, CA",37.7749,-122.419,2019-01-20 05:35:44 UTC,FALSE,FALSE
